ticker,company_name,sector,business_nature,pass,score,technical_pass,fundamental_pass,close,ma50,ma150,ma200,high_52w,low_52w,ret_63d,eps_yoy_value,rev_yoy_value,roe_3y_avg_value,eps_ge_min_qtrs,rev_ge_min_qtrs,eps_consec_qtrs,rev_consec_qtrs,annual_revenue_uptrend,eps_pass,rev_pass,roe_pass,roe_std,roe_stable,roe_quality,audit_close_stooq,audit_close_diff_pct,audit_eps_yoy_sec,audit_rev_yoy_sec,audit_roe_avg_sec,fundamentals_used,fundamentals_source,note
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,False,5,False,False,553.3599853515625,601.0718005371094,582.1901340738932,563.6366007995606,706.8200073242188,349.5899963378906,-0.1680298451198028,0.0,12.945061460021346,58.13186057682856,2,1,1,1,True,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,False,5,False,True,589.25,603.0843981933593,652.9881315104167,639.6459487915039,766.6799926757812,402.3800048828125,-0.17254113907722513,21.42857142857144,13.294749693247754,67.92415911088678,4,1,4,1,True,True,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,False,5,False,False,105.93000030517578,114.81159942626954,112.04393310546875,111.54919998168945,141.2100067138672,73.20999908447266,-0.24984069634795092,11.111111111111093,-37.22417483681721,27.979025125089848,2,2,1,1,True,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
LITE,Lumentum,Information Technology,Communications Equipment,False,4,True,False,894.0700073242188,703.5914007568359,415.2044001261393,340.1852750015259,897.2999877929688,50.06999969482422,1.6045679375968094,-201.13636363636368,16.016371077762614,-48.51948576721242,0,2,0,1,False,False,False,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
COHR,Coherent Corp.,Information Technology,Electronic Components,False,4,True,False,345.0199890136719,257.53020050048826,189.50586669921876,166.62795009613038,345.0199890136719,52.119998931884766,0.7606653255398996,72.72727272727273,20.310873638193037,-3.581165134553615,2,2,2,2,False,False,False,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,False,4,True,False,334.3399963378906,282.8141976928711,221.4344662475586,207.24724952697753,334.3399963378906,131.8800048828125,0.5586946216218678,68.04123711340206,23.266563944530038,13.8480227860178,2,2,2,2,False,False,False,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
INTC,Intel,Information Technology,Semiconductors,False,4,True,False,68.5,48.99040016174317,42.098266741434735,37.2821500492096,68.5,18.84000015258789,0.4176324592845011,-123.1958762886598,2.777777777777768,-5.638258357597162,2,2,2,1,False,False,False,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
DVA,DaVita,Health Care,Health Care Services,False,4,False,False,147.91000366210938,150.03699920654296,130.31619969685872,132.41754978179932,156.75999450683594,103.87000274658203,0.3974868554408455,-18.399999999999995,4.799530578289546,415.27153053196093,2,1,1,1,True,False,True,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
GNRC,Generac,Industrials,Electrical Components & Equipment,False,4,True,False,212.10000610351562,208.45020080566405,178.4360664876302,177.7211000061035,236.5800018310547,106.58000183105469,0.3138822754548525,-65.53846153846153,-5.0453192542709635,9.590823162889627,2,1,2,1,False,False,False,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
IRM,Iron Mountain,Real Estate,Other Specialized REITs,False,4,True,False,118.06999969482422,105.55572311401367,96.7786210123698,95.74167560577392,118.06999969482422,78.2222671508789,0.2844783231374939,-354.54545454545456,-61.37555132979426,-2.671580349618869,0,1,0,1,False,False,False,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,False,4,False,False,53.790000915527344,55.36772262573242,46.75740074157715,46.09714487075806,66.23999786376953,37.63491439819336,0.25192026690631275,-33.6734693877551,-7.65370138017566,25.03774658669124,1,1,1,1,False,False,False,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,False,4,True,False,794.6500244140625,733.6109997558593,618.806025390625,568.2113087463379,794.6500244140625,282.2276306152344,0.2307384139709372,-13.900000000000002,18.0,43.525999999999996,1,1,1,1,False,False,False,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
TXN,Texas Instruments,Information Technology,Semiconductors,False,4,False,False,229.82000732421875,206.6324005126953,186.92822174072265,189.00419342041016,229.82000732421875,141.1527099609375,0.22313928778890468,0.6802721088435382,14.237533124548296,29.936306104528427,1,1,1,1,False,False,False,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,False,4,False,False,406.2099914550781,371.1184924316406,357.83428771972655,358.2607118225098,406.2099914550781,256.3097229003906,0.22196558091173735,2.371541501976293,10.133963750985032,20.892553213409986,2,2,1,1,False,False,False,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,False,4,False,False,223.64999389648438,224.36460144042968,188.69064575195313,177.15258277893065,254.32000732421875,104.07076263427734,0.219080132641299,303.6,-2.1,8.299,2,0,2,0,False,False,False,True,,True,better(>17),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
ETR,Entergy,Utilities,Electric Utilities,False,4,True,False,115.5199966430664,106.79793975830079,97.82389658610026,94.86228702545166,117.44000244140625,78.3612289428711,0.21542474862802075,-48.82943143812709,12.47879968133132,13.944413997393866,2,2,2,1,False,False,False,False,,True,ok(>15),,,,,,True,sec_companyfacts,Fundamentals from SEC Company Facts
